mal_id,mean_score_reco,max_score_reco,min_score_reco,mean_members_reco,max_members_reco,min_members_reco
10687,7.61,7.61,7.61,432645.0,432645.0,432645.0
10688,6.66,6.66,6.66,12584.0,24985.0,183.0
10690,7.27,7.27,7.27,28347.0,28347.0,28347.0
10693,7.22,7.22,7.22,45495.0,45495.0,45495.0
10694,6.633333333333333,7.47,5.87,31990.333333333332,122667.0,5685.0
10695,6.609999999999999,7.55,5.97,25363.666666666668,63770.0,4739.0
10697,6.7625,7.15,6.24,16082.25,31061.0,8879.0
10702,7.215,7.89,6.28,82950.5,218361.0,13276.0
10709,,,,75.0,94.0,56.0
10711,7.01936170212766,8.47,5.79,289770.25531914894,2318129.0,8419.0
10717,6.83,6.83,6.83,143858.0,143858.0,143858.0
10719,7.335222222222222,9.07,6.17,638932.1333333333,2737090.0,23315.0
10720,8.55,8.55,8.55,482226.0,482226.0,482226.0
10721,7.684672897196261,9.1,5.35,738450.8878504672,4170767.0,5299.0
10737,6.64,6.64,6.64,91381.0,91381.0,91381.0
10739,7.305,7.32,7.29,158948.0,232497.0,85399.0
10759,5.49,5.49,5.49,10590.0,10590.0,10590.0
10763,7.28,7.28,7.28,19964.0,19964.0,19964.0
10764,6.14,6.14,6.14,7892.0,7892.0,7892.0
10770,6.6739999999999995,7.61,5.74,99734.2,288674.0,5987.0
10779,7.029000000000001,7.7,4.88,160414.45,710189.0,7825.0
10780,6.96,7.25,6.67,49710.5,50247.0,49174.0
10790,7.4818181818181815,8.24,6.7,899445.7272727273,2164124.0,204057.0
10792,6.75,6.75,6.75,12730.0,12730.0,12730.0
10793,7.363636363636363,9.1,5.23,694578.1188811188,4230312.0,11926.0
10794,7.35,7.35,7.35,136896.0,136896.0,136896.0
10797,7.494999999999999,8.93,6.06,565107.0,1129214.0,1000.0
10798,7.668787878787879,8.91,6.57,643918.3636363636,2401830.0,42858.0
10800,7.850777777777777,9.03,6.14,479066.93333333335,3080867.0,5957.0
10801,5.745,6.21,5.28,4644.0,7150.0,2138.0
10805,7.86,7.86,7.86,1105066.0,1105066.0,1105066.0
10808,7.7093750000000005,8.64,6.44,807948.75,2100581.0,5580.0
10810,7.83,7.83,7.83,25641.0,25641.0,25641.0
10823,,,,265.0,265.0,265.0
10827,7.22,7.56,6.86,30029.0,40356.0,15676.0
10834,7.69,7.69,7.69,560234.0,560234.0,560234.0
10838,6.681,7.88,5.82,54276.2,189526.0,8414.0
10845,5.786666666666666,6.03,5.39,12006.0,16510.0,7916.0
10851,6.369090909090909,7.87,5.09,165284.54545454544,842969.0,3902.0
10852,4.32,4.32,4.32,2860.0,2860.0,2860.0
10863,7.826666666666667,8.21,7.28,659264.6666666666,1480574.0,63847.0
10869,6.859999999999999,6.94,6.77,39068.0,101954.0,2718.0
10884,7.615,8.37,6.75,341648.9,1105066.0,14811.0
10893,7.5,8.29,6.01,359075.0588235294,1812885.0,10999.0
10897,7.1066666666666665,7.28,6.93,403087.3333333333,710189.0,181011.0
10904,5.54,5.54,5.54,2751.0,2751.0,2751.0
10906,6.015,6.06,5.97,5621.5,6546.0,4697.0
10918,7.7700000000000005,8.29,7.27,995994.0,1679420.0,308567.0
10934,6.365,6.73,6.0,379598.5,717331.0,41866.0
10937,8.312222222222223,9.02,7.52,1191947.0,4230312.0,26411.0
10953,6.86,6.86,6.86,40677.0,80825.0,529.0
10954,5.51,5.69,5.33,16396.5,30213.0,2580.0
10958,6.69,7.54,5.77,146136.66666666666,768429.0,5949.0
10979,4.17,4.17,4.17,3143.0,3143.0,3143.0
