mal_id,mean_score_reco,max_score_reco,min_score_reco,mean_members_reco,max_members_reco,min_members_reco,watching_mean,watching_max,watching_min,completed_mean,completed_max,completed_min,on_hold_mean,on_hold_max,on_hold_min,dropped_mean,dropped_max,dropped_min,plan_to_watch_mean,plan_to_watch_max,plan_to_watch_min,total_mean,total_max,total_min
43755,7.743333333333333,8.23,7.5,169427.0,282535.0,21996.0,9409.666666666666,21420.0,613.0,83230.33333333333,134429.0,12662.0,5057.666666666667,12678.0,251.0,5502.666666666667,15343.0,186.0,66234.33333333333,98684.0,8282.0,169434.66666666666,282554.0,21994.0
43756,7.435333333333333,8.43,6.08,410668.8,2115206.0,55374.0,28253.866666666665,131865.0,4241.0,277915.6666666667,1645597.0,22559.0,11858.533333333333,54600.0,2153.0,15904.266666666666,48194.0,3567.0,76770.0,235182.0,18538.0,410702.3333333333,2115438.0,55378.0
43760,7.886363636363637,8.67,6.59,987485.7272727273,3323322.0,45354.0,73258.27272727272,229369.0,2055.0,676640.2727272727,2806977.0,13157.0,25313.090909090908,62184.0,645.0,26422.363636363636,83572.0,260.0,185875.0909090909,373339.0,24496.0,987509.0909090909,3323322.0,45360.0
43763,8.18,8.18,8.18,226139.0,226139.0,226139.0,20023.0,20023.0,20023.0,117758.0,117758.0,117758.0,5941.0,5941.0,5941.0,4240.0,4240.0,4240.0,78195.0,78195.0,78195.0,226157.0,226157.0,226157.0
43767,6.4325,8.25,2.88,480718.0,928332.0,85476.0,22627.25,55673.0,8612.0,267169.25,702463.0,16277.0,12319.25,37242.0,1794.0,21943.25,36289.0,3702.0,156665.75,361839.0,25559.0,480724.75,928332.0,85476.0
43771,7.69,7.69,7.69,77170.0,77170.0,77170.0,6949.0,6949.0,6949.0,33058.0,33058.0,33058.0,2960.0,2960.0,2960.0,3567.0,3567.0,3567.0,30639.0,30639.0,30639.0,77173.0,77173.0,77173.0
43775,5.555,5.58,5.53,650.0,817.0,483.0,28.5,45.0,12.0,484.5,597.0,372.0,6.0,9.0,3.0,51.5,57.0,46.0,79.0,109.0,49.0,649.5,817.0,482.0
43779,7.30125,8.83,6.35,611861.625,2942216.0,114262.0,24095.5,67711.0,6581.0,477820.875,2550243.0,89001.0,6937.125,14234.0,1215.0,12503.625,28602.0,2187.0,90584.5,312716.0,15324.0,611941.625,2942570.0,114308.0
43814,7.078571428571429,9.03,4.58,935021.9523809524,3080867.0,27596.0,61320.80952380953,375910.0,705.0,686540.8571428572,2388240.0,16733.0,21526.238095238095,148406.0,312.0,29278.85714285714,80906.0,483.0,136438.57142857142,380019.0,6601.0,935105.3333333334,3081045.0,27599.0
43878,5.896666666666667,8.15,4.26,22933.0,58281.0,970.0,8213.0,23505.0,36.0,915.6666666666666,2238.0,0.0,1447.3333333333333,3907.0,20.0,1982.3333333333333,3797.0,120.0,10375.0,27072.0,285.0,22933.333333333332,58281.0,970.0
43879,5.7,5.97,5.19,3325.75,7892.0,734.0,122.0,260.0,28.0,1875.5,4172.0,533.0,48.75,102.0,3.0,95.25,175.0,51.0,1184.25,3183.0,119.0,3325.75,7892.0,734.0
43969,7.0274074074074075,8.19,5.51,623272.4444444445,2096852.0,68052.0,41437.92592592593,151113.0,2112.0,435898.0740740741,1702146.0,25521.0,12749.0,33407.0,756.0,23725.777777777777,51517.0,589.0,109533.74074074074,226431.0,21899.0,623344.5185185185,2096852.0,68074.0
44037,6.96047619047619,8.21,5.96,313657.04761904763,1011721.0,25962.0,27661.095238095237,51415.0,4522.0,196236.7142857143,782599.0,8385.0,8275.714285714286,32654.0,913.0,14933.047619047618,35690.0,1573.0,66598.85714285714,253756.0,10573.0,313705.4285714286,1011815.0,25966.0
44040,7.39,8.01,6.77,10726.5,18991.0,2462.0,982.0,1684.0,280.0,7251.0,12898.0,1604.0,245.0,422.0,68.0,453.0,688.0,218.0,1797.5,3303.0,292.0,10728.5,18995.0,2462.0
44041,8.18,8.18,8.18,1146558.0,1146558.0,1146558.0,39567.0,39567.0,39567.0,923072.0,923072.0,923072.0,14743.0,14743.0,14743.0,10325.0,10325.0,10325.0,158851.0,158851.0,158851.0,1146558.0,1146558.0,1146558.0
44042,6.6046875,9.05,3.9,289420.125,1962199.0,223.0,26915.28125,213772.0,6.0,157711.9375,1404554.0,163.0,13957.0625,128020.0,0.0,9696.28125,58378.0,19.0,81166.46875,377913.0,35.0,289447.03125,1962457.0,223.0
44044,5.85,5.85,5.85,8561.0,8561.0,8561.0,981.0,981.0,981.0,2636.0,2636.0,2636.0,360.0,360.0,360.0,554.0,554.0,554.0,4029.0,4029.0,4029.0,8560.0,8560.0,8560.0
44047,6.8075,7.31,5.74,10093.75,17587.0,1332.0,1246.75,1779.0,413.0,5832.25,10381.0,203.0,202.75,338.0,67.0,459.5,933.0,187.0,2353.5,4156.0,462.0,10094.75,17587.0,1332.0
44055,7.798666666666666,8.29,6.93,503981.93333333335,1559915.0,54355.0,35064.6,151113.0,5230.0,332840.2,1134523.0,20973.0,11340.0,28926.0,1233.0,14599.066666666668,34935.0,962.0,110194.93333333333,232807.0,20607.0,504038.8,1560266.0,54387.0
44059,6.331,8.67,2.43,113743.8,1345042.0,533.0,2210.1,22249.0,26.0,85342.75,1130587.0,378.0,672.1,5427.0,4.0,372.65,2315.0,25.0,25151.05,189505.0,96.0,113748.65,1345093.0,533.0
44061,8.42,8.42,8.42,3323322.0,3323322.0,3323322.0,229369.0,229369.0,229369.0,2806977.0,2806977.0,2806977.0,46495.0,46495.0,46495.0,48200.0,48200.0,48200.0,192281.0,192281.0,192281.0,3323322.0,3323322.0,3323322.0
44064,6.455,6.75,6.16,29493.0,52630.0,6356.0,3239.0,5984.0,494.0,11363.0,19934.0,2792.0,990.5,1854.0,127.0,2801.0,5319.0,283.0,11109.0,19556.0,2662.0,29502.5,52647.0,6358.0
44065,7.58,7.58,7.58,10459.0,10459.0,10459.0,1294.0,1294.0,1294.0,4644.0,4644.0,4644.0,363.0,363.0,363.0,452.0,452.0,452.0,3708.0,3708.0,3708.0,10461.0,10461.0,10461.0
44069,8.556666666666667,8.78,8.41,2103437.6666666665,3430848.0,1208732.0,116873.33333333333,145996.0,89029.0,1703144.6666666667,2998253.0,782365.0,41904.666666666664,58215.0,20790.0,32464.0,44770.0,9079.0,209215.66666666666,223363.0,196590.0,2103602.3333333335,3431091.0,1208639.0
44074,7.9239999999999995,9.07,6.44,1053316.2285714287,4170767.0,1072.0,63556.54285714286,207729.0,194.0,750953.2857142857,3474406.0,191.0,25316.0,114486.0,41.0,25359.77142857143,126242.0,57.0,188215.05714285714,687110.0,532.0,1053400.657142857,4171073.0,1073.0
44084,6.4799999999999995,7.37,6.02,2194.3333333333335,4022.0,239.0,31.666666666666668,59.0,5.0,1954.3333333333333,3658.0,185.0,9.0,13.0,4.0,38.333333333333336,52.0,12.0,161.0,240.0,33.0,2194.3333333333335,4022.0,239.0
44086,5.89,5.89,5.89,1806.0,1806.0,1806.0,40.0,40.0,40.0,1514.0,1514.0,1514.0,9.0,9.0,9.0,46.0,46.0,46.0,197.0,197.0,197.0,1806.0,1806.0,1806.0
44089,7.475,8.15,6.8,32441.0,58281.0,6601.0,12004.5,23505.0,504.0,1430.0,2860.0,0.0,2121.5,3907.0,336.0,2247.0,3797.0,697.0,14638.5,27072.0,2205.0,32441.5,58281.0,6602.0
44132,6.78,7.17,6.46,50921.2,105150.0,462.0,2712.4,8211.0,58.0,32107.8,61607.0,196.0,2380.2,7366.0,19.0,3055.6,10605.0,56.0,10667.8,17371.0,133.0,50923.8,105160.0,462.0
44133,6.46,6.46,6.46,40589.0,60057.0,21121.0,1050.0,1302.0,798.0,28927.5,45668.0,12187.0,607.5,711.0,504.0,753.5,797.0,710.0,9253.5,12088.0,6419.0,40592.0,60062.0,21122.0
44141,7.483333333333333,7.61,7.41,219816.0,476928.0,74185.0,13486.666666666666,28710.0,1914.0,133849.66666666666,300476.0,42182.0,6774.333333333333,14685.0,856.0,9067.333333333334,20221.0,448.0,56651.0,112856.0,12077.0,219829.0,476948.0,74186.0
44191,7.132,7.86,6.33,61235.166666666664,191778.0,295.0,3770.8333333333335,11213.0,42.0,38293.333333333336,120674.0,62.0,2294.8333333333335,5350.0,18.0,3000.3333333333335,7350.0,81.0,13877.833333333334,47193.0,92.0,61237.166666666664,191780.0,295.0
44192,7.3180000000000005,8.83,6.64,606039.8,2942216.0,7717.0,14705.6,67711.0,514.0,521407.4,2550243.0,5167.0,1979.4,7661.0,272.0,1263.0,4239.0,256.0,66757.6,312716.0,1508.0,606113.0,2942570.0,7717.0
44194,6.88,6.88,6.88,11776.0,11776.0,11776.0,4410.0,4410.0,4410.0,2839.0,2839.0,2839.0,994.0,994.0,994.0,659.0,659.0,659.0,2874.0,2874.0,2874.0,11776.0,11776.0,11776.0
44196,8.115,8.46,7.77,136059.0,249653.0,22465.0,11398.5,20888.0,1909.0,61436.5,108295.0,14578.0,3916.0,7425.0,407.0,4141.0,7756.0,526.0,55181.0,105310.0,5052.0,136073.0,249674.0,22472.0
44203,6.793571428571428,8.34,5.48,631793.0,1718656.0,148042.0,47201.857142857145,125625.0,15808.0,463207.0,1323396.0,87961.0,9557.785714285714,25483.0,2493.0,25551.571428571428,52195.0,10419.0,86339.07142857143,197068.0,23541.0,631857.2857142857,1718656.0,148073.0
